invoice_number,invoice_date,po_number,supplier_id,supplier_name,material_code,line_item_description,quantity_invoiced,unit,unit_price_idr,line_total_idr,subtotal_idr,tax_percent,tax_amount_idr,total_invoice_idr,payment_terms,due_date,payment_status,payment_date,payment_method,payment_reference,discrepancy_flag,discrepancy_type,discrepancy_notes,validated_by,validation_date
INV-2024-178,2023-08-08,PO-2024-080,SUP-001,PT Kimia Farma Trading & Distribution,RAW-006,Metformin HCl,10000,KG,73871,738710000,738710000,11,81258100,819968100,Net 60,2023-10-07,Paid,2023-10-05,Bank Transfer,TRF-2024-971,No,None,Perfect match with PO,Citra Finance,2023-08-09
INV-2024-179,2023-08-22,PO-2024-081,SUP-005,PT Phapros,RAW-001,Amoxicillin Trihydrate,5000,KG,154906,774530000,774530000,11,85198300,859728300,Net 30,2023-09-21,Paid,2023-09-18,Bank Transfer,TRF-2024-319,No,None,Matches PO exactly,Budi Finance,2023-08-23
INV-2024-180,2023-08-13,PO-2024-082,SUP-001,PT Kimia Farma Trading & Distribution,RAW-001,Amoxicillin Trihydrate,10000,KG,156688,1566880000,1566880000,11,172356800,1739236800,Net 60,2023-10-12,Paid,2023-10-10,Bank Transfer,TRF-2024-275,No,None,Matched with PO,Ani Finance,2023-08-14
INV-2024-181,2023-08-21,PO-2024-083,SUP-004,PT Kalbe Farma,RAW-003,Ascorbic Acid (Vitamin C),1859,KG,45459,84508281,84508281,11,9295910,93804191,Net 30,2023-09-20,Pending,,,,Yes,Quantity Variance,Invoiced 1859 KG but PO was 2000 KG (-141 KG short delivery),,
INV-2024-182,2023-08-07,PO-2024-084,SUP-012,PT Brataco,EXC-001,Povidone K30,1000,KG,62907,62907000,62907000,11,6919770,69826770,Net 45,2023-09-21,Paid,2023-09-18,Bank Transfer,TRF-2024-450,No,None,Perfect match with PO,Budi Finance,2023-08-08
INV-2024-183,2023-08-10,PO-2024-085,SUP-011,PT Chemical Works Indonesia,EXC-001,Croscarmellose Sodium,1000,KG,130774,130774000,130774000,11,14385140,145159140,Net 45,2023-09-24,Paid,2023-09-20,Bank Transfer,TRF-2024-042,No,None,Matched with PO,Citra Finance,2023-08-11
INV-2024-184,2023-08-25,PO-2024-086,SUP-004,PT Kalbe Farma,RAW-002,Paracetamol,5000,KG,90587,452935000,452935000,11,49822850,502757850,Net 30,2023-09-24,Paid,2023-09-21,Bank Transfer,TRF-2024-455,No,None,Perfect match with PO,Budi Finance,2023-08-26
INV-2024-185,2023-08-17,PO-2024-087,SUP-001,PT Kimia Farma Trading & Distribution,RAW-009,Salbutamol Sulfate,5000,KG,933570,4667850000,4667850000,11,513463500,5181313500,Net 60,2023-10-16,Paid,2023-10-15,Bank Transfer,TRF-2024-669,No,None,Matches PO exactly,Citra Finance,2023-08-18
INV-2024-186,2023-08-13,PO-2024-088,SUP-001,PT Kimia Farma Trading & Distribution,RAW-002,Paracetamol,8000,KG,89195,713560000,713560000,11,78491600,792051600,Net 60,2023-10-12,Paid,2023-10-09,Bank Transfer,TRF-2024-860,No,None,Matched with PO,Citra Finance,2023-08-14
INV-2024-187,2023-08-10,PO-2024-089,SUP-003,PT Dexa Medica,RAW-010,Dexamethasone,2000,KG,341310,682620000,682620000,11,75088200,757708200,Net 45,2023-09-24,Paid,2023-09-20,Bank Transfer,TRF-2024-601,No,None,Matched with PO,Ani Finance,2023-08-11
INV-2024-188,2023-08-11,PO-2024-090,SUP-012,PT Brataco,EXC-001,Povidone K30,1000,KG,63830,63830000,63830000,11,7021300,70851300,Net 45,2023-09-25,Paid,2023-09-24,Bank Transfer,TRF-2024-116,No,None,Matched with PO,Ani Finance,2023-08-12
INV-2024-189,2023-08-26,PO-2024-091,SUP-007,PT Multi Packaging Indonesia,PKG-004,Glass Vial 10ml,30000,Unit,5144,154320000,154320000,11,16975200,171295200,Net 45,2023-10-10,Paid,2023-10-06,Bank Transfer,TRF-2024-341,No,None,Matches PO exactly,Budi Finance,2023-08-27
INV-2024-190,2023-08-26,PO-2024-092,SUP-007,PT Multi Packaging Indonesia,PKG-008,Leaflet (Patient Information),14008,Unit,115,1610920,1610920,11,177201,1788121,Net 45,2023-10-10,Pending,,,,Yes,Quantity Variance,Invoiced 14008 Unit but PO was 15000 Unit (-992 Unit short delivery),,
INV-2024-191,2023-08-13,PO-2024-093,SUP-009,PT Prima Pack Indonesia,PKG-006,Aluminum Screw Cap 28mm,20000,Unit,938,18760000,18760000,11,2063600,20823600,Net 45,2023-09-27,Paid,2023-09-24,Bank Transfer,TRF-2024-685,No,None,Matches PO exactly,Ani Finance,2023-08-14
INV-2024-192,2023-08-28,PO-2024-094,SUP-004,PT Kalbe Farma,RAW-004,Ibuprofen,8000,KG,211042,1688336000,1688336000,11,185716960,1874052960,Net 30,2023-09-27,Paid,2023-09-26,Bank Transfer,TRF-2024-315,No,None,Matches PO exactly,Citra Finance,2023-08-29
INV-2024-193,2023-08-18,PO-2024-095,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,2000,KG,60786,121572000,121572000,11,13372920,134944920,Net 45,2023-10-02,Paid,2023-09-27,Bank Transfer,TRF-2024-453,No,None,Matched with PO,Budi Finance,2023-08-19
INV-2024-194,2023-08-14,PO-2024-096,SUP-002,PT Indofarma Global Medika,RAW-009,Salbutamol Sulfate,8000,KG,880855,7046840000,7046840000,11,775152400,7821992400,Net 60,2023-10-13,Paid,2023-10-08,Bank Transfer,TRF-2024-658,No,None,Perfect match with PO,Citra Finance,2023-08-15
INV-2024-195,2023-08-31,PO-2024-097,SUP-005,PT Phapros,RAW-001,Amoxicillin Trihydrate,8000,KG,156043,1248344000,1248344000,11,137317840,1385661840,Net 30,2023-09-30,Paid,2023-09-26,Bank Transfer,TRF-2024-384,No,None,Perfect match with PO,Citra Finance,2023-09-01
INV-2024-196,2023-08-16,PO-2024-098,SUP-010,PT Pharma Excipient Supply,EXC-001,Microcrystalline Cellulose (Avicel PH102),3000,KG,24194,72582000,72582000,11,7984020,80566020,Net 60,2023-10-15,Paid,2023-10-13,Bank Transfer,TRF-2024-940,No,None,Perfect match with PO,Budi Finance,2023-08-17
INV-2024-197,2023-08-18,PO-2024-099,SUP-010,PT Pharma Excipient Supply,EXC-001,Povidone K30,2000,KG,61750,123500000,123500000,11,13585000,137085000,Net 60,2023-10-17,Paid,2023-10-15,Bank Transfer,TRF-2024-646,No,None,Matches PO exactly,Ani Finance,2023-08-19
INV-2024-198,2023-08-18,PO-2024-100,SUP-012,PT Brataco,EXC-001,Starch (Pregelatinized),3000,KG,18053,54159000,54159000,11,5957490,60116490,Net 45,2023-10-02,Paid,2023-09-28,Bank Transfer,TRF-2024-237,No,None,Matches PO exactly,Budi Finance,2023-08-19
INV-2024-199,2023-08-22,PO-2024-101,SUP-008,PT Global Pack Industries,PKG-006,Aluminum Screw Cap 28mm,10000,Unit,926,9260000,9260000,11,1018600,10278600,Net 45,2023-10-06,Paid,2023-10-03,Bank Transfer,TRF-2024-294,No,None,Perfect match with PO,Budi Finance,2023-08-23
INV-2024-200,2023-08-19,PO-2024-102,SUP-008,PT Global Pack Industries,PKG-006,Aluminum Screw Cap 28mm,10000,Unit,940,9400000,9400000,11,1034000,10434000,Net 45,2023-10-03,Paid,2023-09-30,Bank Transfer,TRF-2024-062,No,None,Matches PO exactly,Citra Finance,2023-08-20
INV-2024-201,2023-08-21,PO-2024-103,SUP-010,PT Pharma Excipient Supply,EXC-001,Magnesium Stearate,5000,KG,36581,182905000,182905000,11,20119550,203024550,Net 60,2023-10-20,Paid,2023-10-19,Bank Transfer,TRF-2024-887,No,None,Perfect match with PO,Citra Finance,2023-08-22
INV-2024-202,2023-09-05,PO-2024-105,SUP-005,PT Phapros,RAW-010,Dexamethasone,5000,KG,350255,1751275000,1751275000,11,192640250,1943915250,Net 30,2023-10-05,Paid,2023-10-02,Bank Transfer,TRF-2024-374,No,None,Perfect match with PO,Budi Finance,2023-09-06
INV-2024-203,2023-08-23,PO-2024-106,SUP-006,PT Indo Packaging Solutions,PKG-001,PVC/PVDC Blister Pack 10x10,15000,Unit,509,7635000,7635000,11,839850,8474850,Net 30,2023-09-22,Paid,2023-09-19,Bank Transfer,TRF-2024-180,No,None,Matched with PO,Budi Finance,2023-08-24
INV-2024-204,2023-08-20,PO-2024-107,SUP-010,PT Pharma Excipient Supply,EXC-001,Lactose Monohydrate,5000,KG,21340,106700000,106700000,11,11737000,118437000,Net 60,2023-10-19,Paid,2023-10-18,Bank Transfer,TRF-2024-015,No,None,Perfect match with PO,Budi Finance,2023-08-21
INV-2024-205,2023-08-21,PO-2024-108,SUP-011,PT Chemical Works Indonesia,EXC-001,Colloidal Silicon Dioxide,1000,KG,197633,197633000,197633000,11,21739630,219372630,Net 45,2023-10-05,Paid,2023-10-03,Bank Transfer,TRF-2024-595,No,None,Matched with PO,Ani Finance,2023-08-22
INV-2024-206,2023-08-24,PO-2024-109,SUP-003,PT Dexa Medica,RAW-003,Ascorbic Acid (Vitamin C),2000,KG,44381,88762000,88762000,11,9763820,98525820,Net 45,2023-10-08,Paid,2023-10-06,Bank Transfer,TRF-2024-734,No,None,Matched with PO,Budi Finance,2023-08-25
INV-2024-207,2023-08-25,PO-2024-110,SUP-009,PT Prima Pack Indonesia,PKG-007,Desiccant Silica Gel 1g,25000,Unit,201,5025000,5025000,11,552750,5577750,Net 45,2023-10-09,Paid,2023-10-07,Bank Transfer,TRF-2024-387,No,None,Perfect match with PO,Ani Finance,2023-08-26
INV-2024-208,2023-09-01,PO-2024-111,SUP-007,PT Multi Packaging Indonesia,PKG-007,Desiccant Silica Gel 1g,30000,Unit,193,5790000,5790000,11,636900,6426900,Net 45,2023-10-16,Paid,2023-10-13,Bank Transfer,TRF-2024-113,No,None,Matched with PO,Budi Finance,2023-09-02
INV-2024-209,2023-09-08,PO-2024-112,SUP-005,PT Phapros,RAW-005,Cetirizine HCl,5000,KG,2981873,14909365000,14909365000,11,1640030150,16549395150,Net 30,2023-10-08,Paid,2023-10-03,Bank Transfer,TRF-2024-539,No,None,Matches PO exactly,Ani Finance,2023-09-09
INV-2024-210,2023-08-25,PO-2024-114,SUP-010,PT Pharma Excipient Supply,EXC-001,Talcum Powder,2000,KG,14562,29124000,29124000,11,3203640,32327640,Net 60,2023-10-24,Paid,2023-10-19,Bank Transfer,TRF-2024-201,No,None,Matched with PO,Budi Finance,2023-08-26
INV-2024-211,2023-08-26,PO-2024-115,SUP-011,PT Chemical Works Indonesia,EXC-001,Croscarmellose Sodium,5000,KG,133172,665860000,665860000,11,73244600,739104600,Net 45,2023-10-10,Paid,2023-10-08,Bank Transfer,TRF-2024-156,No,None,Perfect match with PO,Budi Finance,2023-08-27
INV-2024-212,2023-08-30,PO-2024-116,SUP-009,PT Prima Pack Indonesia,PKG-008,Leaflet (Patient Information),20000,Unit,113,2260000,2260000,11,248600,2508600,Net 45,2023-10-14,Paid,2023-10-10,Bank Transfer,TRF-2024-240,No,None,Matched with PO,Ani Finance,2023-08-31
INV-2024-213,2023-08-27,PO-2024-117,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,30000,Unit,866,25980000,25980000,11,2857800,28837800,Net 30,2023-09-26,Paid,2023-09-24,Bank Transfer,TRF-2024-738,No,None,Matched with PO,Ani Finance,2023-08-28
INV-2024-214,2023-08-26,PO-2024-118,SUP-012,PT Brataco,EXC-001,Croscarmellose Sodium,5000,KG,132837,664185000,664185000,11,73060350,737245350,Net 45,2023-10-10,Paid,2023-10-05,Bank Transfer,TRF-2024-374,No,None,Perfect match with PO,Budi Finance,2023-08-27
INV-2024-215,2023-09-03,PO-2024-119,SUP-008,PT Global Pack Industries,PKG-007,Desiccant Silica Gel 1g,15000,Unit,196,2940000,2940000,11,323400,3263400,Net 45,2023-10-18,Paid,2023-10-14,Bank Transfer,TRF-2024-213,No,None,Matches PO exactly,Citra Finance,2023-09-04
INV-2024-216,2023-08-30,PO-2024-120,SUP-001,PT Kimia Farma Trading & Distribution,RAW-010,Dexamethasone,8000,KG,367405,2939240000,2939240000,11,323316400,3262556400,Net 60,2023-10-29,Paid,2023-10-28,Bank Transfer,TRF-2024-856,No,None,Matches PO exactly,Ani Finance,2023-08-31
INV-2024-217,2023-09-12,PO-2024-121,SUP-005,PT Phapros,RAW-007,Omeprazole,2000,KG,2078802,4157604000,4157604000,11,457336440,4614940440,Net 30,2023-10-12,Paid,2023-10-09,Bank Transfer,TRF-2024-604,No,None,Matched with PO,Budi Finance,2023-09-13
INV-2024-218,2023-09-11,PO-2024-122,SUP-004,PT Kalbe Farma,RAW-005,Cetirizine HCl,3000,KG,2889941,8669823000,8669823000,11,953680530,9623503530,Net 30,2023-10-11,Paid,2023-10-07,Bank Transfer,TRF-2024-197,No,None,Matches PO exactly,Citra Finance,2023-09-12
INV-2024-219,2023-08-31,PO-2024-123,SUP-003,PT Dexa Medica,RAW-005,Cetirizine HCl,2000,KG,3078183,6156366000,6156366000,11,677200260,6833566260,Net 45,2023-10-15,Paid,2023-10-11,Bank Transfer,TRF-2024-099,No,None,Perfect match with PO,Ani Finance,2023-09-01
INV-2024-220,2023-08-31,PO-2024-124,SUP-012,PT Brataco,EXC-001,Croscarmellose Sodium,5000,KG,136452,682260000,682260000,11,75048600,757308600,Net 45,2023-10-15,Paid,2023-10-11,Bank Transfer,TRF-2024-324,No,None,Matched with PO,Ani Finance,2023-09-01
INV-2024-221,2023-08-29,PO-2024-125,SUP-009,PT Prima Pack Indonesia,PKG-006,Aluminum Screw Cap 28mm,10000,Unit,861,8610000,8610000,11,947100,9557100,Net 45,2023-10-13,Paid,2023-10-10,Bank Transfer,TRF-2024-290,No,None,Matched with PO,Citra Finance,2023-08-30
INV-2024-222,2023-09-02,PO-2024-126,SUP-010,PT Pharma Excipient Supply,EXC-001,Talcum Powder,5000,KG,15207,76035000,76035000,11,8363850,84398850,Net 60,2023-11-01,Paid,2023-10-27,Bank Transfer,TRF-2024-772,No,None,Matches PO exactly,Citra Finance,2023-09-03
INV-2024-223,2023-09-13,PO-2024-127,SUP-007,PT Multi Packaging Indonesia,PKG-002,Aluminum Foil Strip (Cold Form),25000,Roll,130290,3257250000,3257250000,11,358297500,3615547500,Net 45,2023-10-28,Paid,2023-10-25,Bank Transfer,TRF-2024-730,No,None,Perfect match with PO,Ani Finance,2023-09-14
INV-2024-224,2023-09-12,PO-2024-128,SUP-007,PT Multi Packaging Indonesia,PKG-003,HDPE Bottle 100ml,30000,Unit,3067,92010000,92010000,11,10121100,102131100,Net 45,2023-10-27,Paid,2023-10-25,Bank Transfer,TRF-2024-333,No,None,Matched with PO,Ani Finance,2023-09-13
INV-2024-225,2023-09-14,PO-2024-129,SUP-007,PT Multi Packaging Indonesia,PKG-004,Glass Vial 10ml,25000,Unit,5061,126525000,126525000,11,13917750,140442750,Net 45,2023-10-29,Paid,2023-10-26,Bank Transfer,TRF-2024-247,No,None,Matches PO exactly,Budi Finance,2023-09-15
INV-2024-226,2023-08-31,PO-2024-130,SUP-002,PT Indofarma Global Medika,RAW-009,Salbutamol Sulfate,1,KG,934632,934632,934632,11,102809,1037441,Net 60,2023-10-30,Pending,,,,Yes,Unmatched Item,Additional charge not in original PO - needs approval,,
INV-2024-227,2023-09-04,PO-2024-131,SUP-008,PT Global Pack Industries,PKG-003,HDPE Bottle 100ml,30000,Unit,2890,86700000,86700000,11,9537000,96237000,Net 45,2023-10-19,Paid,2023-10-17,Bank Transfer,TRF-2024-016,No,None,Perfect match with PO,Ani Finance,2023-09-05
INV-2024-228,2023-09-02,PO-2024-132,SUP-002,PT Indofarma Global Medika,RAW-005,Cetirizine HCl,10000,KG,3003986,30039860000,30039860000,11,3304384600,33344244600,Net 60,2023-11-01,Paid,2023-10-31,Bank Transfer,TRF-2024-130,No,None,Matches PO exactly,Ani Finance,2023-09-03
INV-2024-229,2023-09-06,PO-2024-133,SUP-001,PT Kimia Farma Trading & Distribution,RAW-003,Ascorbic Acid (Vitamin C),5000,KG,43938,219690000,219690000,11,24165900,243855900,Net 60,2023-11-05,Paid,2023-10-31,Bank Transfer,TRF-2024-143,No,None,Matched with PO,Ani Finance,2023-09-07
INV-2024-230,2023-09-05,PO-2024-134,SUP-011,PT Chemical Works Indonesia,EXC-001,Colloidal Silicon Dioxide,5000,KG,193230,966150000,966150000,11,106276500,1072426500,Net 45,2023-10-20,Paid,2023-10-15,Bank Transfer,TRF-2024-495,No,None,Perfect match with PO,Budi Finance,2023-09-06
INV-2024-231,2023-09-15,PO-2024-135,SUP-005,PT Phapros,RAW-010,Dexamethasone,3000,KG,343133,1029399000,1029399000,11,113233890,1142632890,Net 30,2023-10-15,Paid,2023-10-13,Bank Transfer,TRF-2024-515,No,None,Matched with PO,Citra Finance,2023-09-16
INV-2024-232,2023-09-06,PO-2024-136,SUP-010,PT Pharma Excipient Supply,EXC-001,Croscarmellose Sodium,3000,KG,134601,403803000,403803000,11,44418330,448221330,Net 60,2023-11-05,Paid,2023-11-02,Bank Transfer,TRF-2024-940,No,None,Matched with PO,Budi Finance,2023-09-07
INV-2024-233,2023-09-05,PO-2024-137,SUP-003,PT Dexa Medica,RAW-007,Omeprazole,3000,KG,2021977,6065931000,6065931000,11,667252410,6733183410,Net 45,2023-10-20,Paid,2023-10-18,Bank Transfer,TRF-2024-911,No,None,Perfect match with PO,Budi Finance,2023-09-06
INV-2024-234,2023-09-04,PO-2024-138,SUP-001,PT Kimia Farma Trading & Distribution,RAW-010,Dexamethasone,10000,KG,356847,3568470000,3568470000,11,392531700,3961001700,Net 60,2023-11-03,Paid,2023-11-02,Bank Transfer,TRF-2024-120,No,None,Perfect match with PO,Budi Finance,2023-09-05
INV-2024-235,2023-09-08,PO-2024-139,SUP-001,PT Kimia Farma Trading & Distribution,RAW-003,Ascorbic Acid (Vitamin C),8000,KG,45872,366976000,366976000,11,40367360,407343360,Net 60,2023-11-07,Paid,2023-11-04,Bank Transfer,TRF-2024-455,No,None,Matches PO exactly,Budi Finance,2023-09-09
INV-2024-236,2023-09-17,PO-2024-140,SUP-007,PT Multi Packaging Indonesia,PKG-004,Glass Vial 10ml,25000,Unit,4875,121875000,121875000,11,13406250,135281250,Net 45,2023-11-01,Paid,2023-10-31,Bank Transfer,TRF-2024-679,No,None,Matches PO exactly,Citra Finance,2023-09-18
INV-2024-237,2023-09-05,PO-2024-141,SUP-001,PT Kimia Farma Trading & Distribution,RAW-006,Metformin HCl,2000,KG,69987,139974000,139974000,11,15397140,155371140,Net 60,2023-11-04,Paid,2023-11-02,Bank Transfer,TRF-2024-817,No,None,Matches PO exactly,Ani Finance,2023-09-06
INV-2024-238,2023-09-03,PO-2024-142,SUP-011,PT Chemical Works Indonesia,EXC-001,Microcrystalline Cellulose (Avicel PH102),2000,KG,25923,51846000,51846000,11,5703060,57549060,Net 45,2023-10-18,Paid,2023-10-17,Bank Transfer,TRF-2024-060,No,None,Matched with PO,Citra Finance,2023-09-04
INV-2024-239,2023-09-03,PO-2024-143,SUP-006,PT Indo Packaging Solutions,PKG-008,Leaflet (Patient Information),10000,Unit,109,1090000,1090000,11,119900,1209900,Net 30,2023-10-03,Paid,2023-09-29,Bank Transfer,TRF-2024-920,No,None,Matches PO exactly,Citra Finance,2023-09-04
INV-2024-240,2023-09-07,PO-2024-144,SUP-012,PT Brataco,EXC-001,Talcum Powder,1000,KG,14670,14670000,14670000,11,1613700,16283700,Net 45,2023-10-22,Paid,2023-10-18,Bank Transfer,TRF-2024-566,No,None,Perfect match with PO,Ani Finance,2023-09-08
INV-2024-241,2023-09-19,PO-2024-145,SUP-005,PT Phapros,RAW-004,Ibuprofen,2000,KG,202100,404200000,404200000,11,44462000,448662000,Net 30,2023-10-19,Paid,2023-10-16,Bank Transfer,TRF-2024-892,No,None,Matched with PO,Ani Finance,2023-09-20
INV-2024-242,2023-09-19,PO-2024-146,SUP-004,PT Kalbe Farma,RAW-002,Paracetamol,8000,KG,87082,696656000,696656000,11,76632160,773288160,Net 30,2023-10-19,Paid,2023-10-17,Bank Transfer,TRF-2024-266,No,None,Perfect match with PO,Ani Finance,2023-09-20
INV-2024-243,2023-09-15,PO-2024-147,SUP-007,PT Multi Packaging Indonesia,PKG-004,Glass Vial 10ml,15000,Unit,5015,75225000,75225000,11,8274750,83499750,Net 45,2023-10-30,Paid,2023-10-28,Bank Transfer,TRF-2024-343,No,None,Matches PO exactly,Citra Finance,2023-09-16
INV-2024-244,2023-09-04,PO-2024-148,SUP-012,PT Brataco,EXC-001,Povidone K30,2000,KG,64513,129026000,129026000,11,14192860,143218860,Net 45,2023-10-19,Paid,2023-10-16,Bank Transfer,TRF-2024-096,No,None,Matched with PO,Ani Finance,2023-09-05
INV-2024-245,2023-09-08,PO-2024-149,SUP-003,PT Dexa Medica,RAW-009,Salbutamol Sulfate,5000,KG,887929,4439645000,4439645000,11,488360950,4928005950,Net 45,2023-10-23,Paid,2023-10-20,Bank Transfer,TRF-2024-722,No,None,Matched with PO,Budi Finance,2023-09-09
INV-2024-246,2023-09-24,PO-2024-150,SUP-005,PT Phapros,RAW-010,Dexamethasone,10000,KG,349941,3499410000,3499410000,11,384935100,3884345100,Net 30,2023-10-24,Paid,2023-10-21,Bank Transfer,TRF-2024-374,No,None,Perfect match with PO,Ani Finance,2023-09-25
INV-2024-247,2023-09-16,PO-2024-151,SUP-007,PT Multi Packaging Indonesia,PKG-005,Corrugated Carton Box (Master),15000,Unit,3358,50370000,50370000,11,5540700,55910700,Net 45,2023-10-31,Paid,2023-10-26,Bank Transfer,TRF-2024-325,No,None,Matches PO exactly,Ani Finance,2023-09-17
INV-2024-248,2023-09-07,PO-2024-152,SUP-003,PT Dexa Medica,RAW-008,Ciprofloxacin,5000,KG,461583,2307915000,2307915000,11,253870650,2561785650,Net 45,2023-10-22,Paid,2023-10-20,Bank Transfer,TRF-2024-310,No,None,Perfect match with PO,Ani Finance,2023-09-08
INV-2024-249,2023-09-07,PO-2024-153,SUP-002,PT Indofarma Global Medika,RAW-007,Omeprazole,5000,KG,1901451,9507255000,9507255000,11,1045798050,10553053050,Net 60,2023-11-06,Paid,2023-11-01,Bank Transfer,TRF-2024-615,No,None,Perfect match with PO,Citra Finance,2023-09-08
INV-2024-250,2023-09-11,PO-2024-154,SUP-003,PT Dexa Medica,RAW-002,Paracetamol,10000,KG,84935,849350000,849350000,11,93428500,942778500,Net 45,2023-10-26,Paid,2023-10-24,Bank Transfer,TRF-2024-111,No,None,Matched with PO,Budi Finance,2023-09-12
INV-2024-251,2023-09-12,PO-2024-155,SUP-009,PT Prima Pack Indonesia,PKG-008,Leaflet (Patient Information),30000,Unit,104,3120000,3120000,11,343200,3463200,Net 45,2023-10-27,Paid,2023-10-22,Bank Transfer,TRF-2024-618,No,None,Matches PO exactly,Ani Finance,2023-09-13
INV-2024-252,2023-09-09,PO-2024-156,SUP-011,PT Chemical Works Indonesia,EXC-001,Croscarmellose Sodium,3000,KG,141374,424122000,424122000,11,46653420,470775420,Net 45,2023-10-24,Paid,2023-10-19,Bank Transfer,TRF-2024-882,No,None,Matched with PO,Ani Finance,2023-09-10
INV-2024-253,2023-09-12,PO-2024-157,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,10000,Unit,896,8960000,8960000,11,985600,9945600,Net 30,2023-10-12,Paid,2023-10-08,Bank Transfer,TRF-2024-396,No,None,Matches PO exactly,Budi Finance,2023-09-13
INV-2024-254,2023-09-09,PO-2024-158,SUP-009,PT Prima Pack Indonesia,PKG-001,PVC/PVDC Blister Pack 10x10,10000,Unit,522,5220000,5220000,11,574200,5794200,Net 45,2023-10-24,Paid,2023-10-21,Bank Transfer,TRF-2024-961,No,None,Matched with PO,Ani Finance,2023-09-10
INV-2024-255,2023-09-09,PO-2024-159,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,2000,KG,60338,120676000,120676000,11,13274360,133950360,Net 45,2023-10-24,Paid,2023-10-22,Bank Transfer,TRF-2024-683,No,None,Matched with PO,Budi Finance,2023-09-10
INV-2024-256,2023-09-13,PO-2024-160,SUP-011,PT Chemical Works Indonesia,EXC-001,Lactose Monohydrate,2000,KG,20294,40588000,40588000,11,4464680,45052680,Net 45,2023-10-28,Paid,2023-10-27,Bank Transfer,TRF-2024-437,No,None,Perfect match with PO,Budi Finance,2023-09-14
INV-2024-257,2023-09-28,PO-2024-161,SUP-004,PT Kalbe Farma,RAW-003,Ascorbic Acid (Vitamin C),5000,KG,43330,216650000,216650000,11,23831500,240481500,Net 30,2023-10-28,Paid,2023-10-24,Bank Transfer,TRF-2024-003,No,None,Matched with PO,Citra Finance,2023-09-29
