po_number,po_date,pr_number,supplier_id,supplier_name,material_code,material_name,quantity,unit,unit_price_idr,subtotal_idr,tax_percent,tax_amount_idr,total_amount_idr,delivery_date,delivery_location,payment_terms,status,created_by,approved_by,approval_date,received_date,received_quantity,notes
PO-2024-001,2023-07-01,PR-2024-078,SUP-003,PT Dexa Medica,RAW-009,Salbutamol Sulfate,10000,KG,962608,9626080000,11,1058868800,10684948800,2023-07-10,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Sari Director,2023-07-02,2023-07-10,10000,Quality check required retest
PO-2024-002,2023-07-01,PR-2024-081,SUP-009,PT Prima Pack Indonesia,PKG-002,Aluminum Foil Strip (Cold Form),25000,Roll,131248,3281200000,11,360932000,3642132000,2023-07-09,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Sari Director,2023-07-02,2023-07-09,24326,Quality check required retest
PO-2024-003,2023-07-02,PR-2024-085,SUP-001,PT Kimia Farma Trading & Distribution,RAW-001,Amoxicillin Trihydrate,8000,KG,154295,1234360000,11,135779600,1370139600,2023-07-13,Warehouse A - Jakarta,Net 60,Completed,Citra Procurement,Sari Director,2023-07-03,2023-07-13,8000,Quality check required retest
PO-2024-004,2023-07-03,PR-2024-089,SUP-002,PT Indofarma Global Medika,RAW-002,Paracetamol,8000,KG,86112,688896000,11,75778560,764674560,2023-07-11,Warehouse B - Bandung,Net 60,Completed,Citra Procurement,Sari Director,2023-07-04,2023-07-11,7797,Delivery 2 days late
PO-2024-005,2023-07-04,PR-2024-092,SUP-005,PT Phapros,RAW-004,Ibuprofen,8000,KG,212988,1703904000,11,187429440,1891333440,2023-07-27,Warehouse A - Jakarta,Net 30,Completed,Budi Procurement,Sari Director,2023-07-05,2023-07-27,8000,On-time delivery with COA
PO-2024-006,2023-07-04,PR-2024-094,SUP-009,PT Prima Pack Indonesia,PKG-008,Leaflet (Patient Information),20000,Unit,115,2300000,11,253000,2553000,2023-07-13,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-07-05,2023-07-13,20000,Delivery 2 days late
PO-2024-007,2023-07-04,PR-2024-095,SUP-003,PT Dexa Medica,RAW-010,Dexamethasone,2000,KG,365864,731728000,11,80490080,812218080,2023-07-11,Warehouse B - Bandung,Net 45,Completed,Citra Procurement,Sari Director,2023-07-05,2023-07-11,2000,Slight delay but acceptable quality
PO-2024-008,2023-07-05,PR-2024-098,SUP-001,PT Kimia Farma Trading & Distribution,RAW-009,Salbutamol Sulfate,8000,KG,906891,7255128000,11,798064080,8053192080,2023-07-18,Warehouse A - Jakarta,Net 60,Completed,Ani Procurement,Sari Director,2023-07-06,2023-07-18,8000,Delivery 2 days late
PO-2024-009,2023-07-05,PR-2024-099,SUP-008,PT Global Pack Industries,PKG-008,Leaflet (Patient Information),10000,Unit,106,1060000,11,116600,1176600,2023-07-18,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-07-06,2023-07-18,10000,Quality check required retest
PO-2024-010,2023-07-05,PR-2024-100,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,15000,Unit,866,12990000,11,1428900,14418900,2023-07-15,Warehouse B - Bandung,Net 30,Completed,Citra Procurement,Rudi Manager,2023-07-06,2023-07-15,15000,COA received
PO-2024-011,2023-07-06,PR-2024-102,SUP-008,PT Global Pack Industries,PKG-005,Corrugated Carton Box (Master),30000,Unit,3476,104280000,11,11470800,115750800,2023-07-19,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Rudi Manager,2023-07-07,2023-07-19,30000,Quality check required retest
PO-2024-012,2023-07-06,PR-2024-103,SUP-011,PT Chemical Works Indonesia,EXC-001,Lactose Monohydrate,1000,KG,20964,20964000,11,2306040,23270040,2023-07-12,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-07-07,2023-07-12,1000,Delivery 2 days late
PO-2024-013,2023-07-06,PR-2024-105,SUP-005,PT Phapros,RAW-009,Salbutamol Sulfate,8000,KG,929865,7438920000,11,818281200,8257201200,2023-07-25,Warehouse B - Bandung,Net 30,Completed,Citra Procurement,Sari Director,2023-07-07,2023-07-25,8000,On-time delivery with COA
PO-2024-014,2023-07-07,PR-2024-108,SUP-004,PT Kalbe Farma,RAW-004,Ibuprofen,10000,KG,211186,2111860000,11,232304600,2344164600,2023-07-31,Warehouse A - Jakarta,Net 30,Completed,Citra Procurement,Sari Director,2023-07-08,2023-07-31,10000,Quality check passed
PO-2024-015,2023-07-08,PR-2024-109,SUP-001,PT Kimia Farma Trading & Distribution,RAW-005,Cetirizine HCl,10000,KG,3070770,30707700000,11,3377847000,34085547000,2023-07-17,Warehouse A - Jakarta,Net 60,Completed,Ani Procurement,Sari Director,2023-07-09,2023-07-17,10000,Slight delay but acceptable quality
PO-2024-016,2023-07-08,PR-2024-111,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,20000,Unit,944,18880000,11,2076800,20956800,2023-07-14,Warehouse A - Jakarta,Net 30,Completed,Ani Procurement,Rudi Manager,2023-07-09,2023-07-14,20000,Delivered on schedule
PO-2024-017,2023-07-08,PR-2024-112,SUP-009,PT Prima Pack Indonesia,PKG-005,Corrugated Carton Box (Master),15000,Unit,3582,53730000,11,5910300,59640300,2023-07-18,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Rudi Manager,2023-07-09,2023-07-18,15000,Delivery 2 days late
PO-2024-018,2023-07-09,PR-2024-113,SUP-010,PT Pharma Excipient Supply,EXC-001,Microcrystalline Cellulose (Avicel PH102),5000,KG,25653,128265000,11,14109150,142374150,2023-07-18,Warehouse A - Jakarta,Net 60,Completed,Budi Procurement,Rudi Manager,2023-07-10,2023-07-18,5000,Slight delay but acceptable quality
PO-2024-019,2023-07-10,PR-2024-117,SUP-012,PT Brataco,EXC-001,Lactose Monohydrate,5000,KG,21361,106805000,11,11748550,118553550,2023-07-15,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-11,2023-07-15,5000,Slight delay but acceptable quality
PO-2024-020,2023-07-10,PR-2024-118,SUP-009,PT Prima Pack Indonesia,PKG-005,Corrugated Carton Box (Master),20000,Unit,3580,71600000,11,7876000,79476000,2023-07-18,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-07-11,2023-07-18,20000,Delivery 2 days late
PO-2024-021,2023-07-11,PR-2024-121,SUP-011,PT Chemical Works Indonesia,EXC-001,Microcrystalline Cellulose (Avicel PH102),1000,KG,24307,24307000,11,2673770,26980770,2023-07-17,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-07-12,2023-07-17,1000,Delivery 2 days late
PO-2024-022,2023-07-12,PR-2024-124,SUP-009,PT Prima Pack Indonesia,PKG-007,Desiccant Silica Gel 1g,10000,Unit,200,2000000,11,220000,2220000,2023-07-19,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-13,2023-07-19,10000,Delivery 2 days late
PO-2024-023,2023-07-13,PR-2024-126,SUP-010,PT Pharma Excipient Supply,EXC-001,Colloidal Silicon Dioxide,5000,KG,207926,1039630000,11,114359300,1153989300,2023-07-21,Warehouse A - Jakarta,Net 60,Completed,Ani Procurement,Sari Director,2023-07-14,2023-07-21,5000,Quality check required retest
PO-2024-024,2023-07-13,PR-2024-129,SUP-011,PT Chemical Works Indonesia,EXC-001,Lactose Monohydrate,5000,KG,20284,101420000,11,11156200,112576200,2023-07-22,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-07-14,2023-07-22,5000,Quality check required retest
PO-2024-025,2023-07-13,PR-2024-131,SUP-008,PT Global Pack Industries,PKG-008,Leaflet (Patient Information),15000,Unit,110,1650000,11,181500,1831500,2023-07-24,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-14,2023-07-24,15000,Quality check required retest
PO-2024-026,2023-07-14,PR-2024-134,SUP-010,PT Pharma Excipient Supply,EXC-001,Colloidal Silicon Dioxide,3000,KG,191917,575751000,11,63332610,639083610,2023-07-20,Warehouse A - Jakarta,Net 60,Completed,Budi Procurement,Sari Director,2023-07-15,2023-07-20,3000,Quality check required retest
PO-2024-027,2023-07-14,PR-2024-135,SUP-003,PT Dexa Medica,RAW-004,Ibuprofen,3000,KG,207326,621978000,11,68417580,690395580,2023-07-19,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Sari Director,2023-07-15,2023-07-19,3000,Slight delay but acceptable quality
PO-2024-028,2023-07-15,PR-2024-137,SUP-011,PT Chemical Works Indonesia,EXC-001,Colloidal Silicon Dioxide,2000,KG,203859,407718000,11,44848980,452566980,2023-07-23,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-16,2023-07-23,2000,Quality check required retest
PO-2024-029,2023-07-15,PR-2024-141,SUP-005,PT Phapros,RAW-003,Ascorbic Acid (Vitamin C),2000,KG,46612,93224000,11,10254640,103478640,2023-08-06,Warehouse B - Bandung,Net 30,Completed,Ani Procurement,Rudi Manager,2023-07-16,2023-08-06,2000,On-time delivery with COA
PO-2024-030,2023-07-15,PR-2024-145,SUP-003,PT Dexa Medica,RAW-001,Amoxicillin Trihydrate,10000,KG,155860,1558600000,11,171446000,1730046000,2023-07-25,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Sari Director,2023-07-16,2023-07-25,10000,Delivery 2 days late
PO-2024-031,2023-07-16,PR-2024-148,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,3000,KG,64075,192225000,11,21144750,213369750,2023-07-25,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-17,2023-07-25,3000,Delivery 2 days late
PO-2024-032,2023-07-16,PR-2024-152,SUP-008,PT Global Pack Industries,PKG-003,HDPE Bottle 100ml,10000,Unit,3005,30050000,11,3305500,33355500,2023-07-26,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-17,2023-07-26,10000,Quality check required retest
PO-2024-033,2023-07-17,PR-2024-153,SUP-006,PT Indo Packaging Solutions,PKG-003,HDPE Bottle 100ml,25000,Unit,3039,75975000,11,8357250,84332250,2023-07-27,Warehouse B - Bandung,Net 30,Completed,Budi Procurement,Rudi Manager,2023-07-18,2023-07-27,25000,COA received
PO-2024-034,2023-07-17,PR-2024-157,SUP-004,PT Kalbe Farma,RAW-008,Ciprofloxacin,8000,KG,446294,3570352000,11,392738720,3963090720,2023-08-06,Warehouse B - Bandung,Net 30,Completed,Ani Procurement,Sari Director,2023-07-18,2023-08-06,8000,Quality check passed
PO-2024-035,2023-07-17,PR-2024-158,SUP-008,PT Global Pack Industries,PKG-004,Glass Vial 10ml,25000,Unit,4969,124225000,11,13664750,137889750,2023-07-27,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-18,2023-07-27,25000,Delivery 2 days late
PO-2024-036,2023-07-18,PR-2024-159,SUP-006,PT Indo Packaging Solutions,PKG-004,Glass Vial 10ml,10000,Unit,4896,48960000,11,5385600,54345600,2023-07-24,Warehouse A - Jakarta,Net 30,Completed,Ani Procurement,Rudi Manager,2023-07-19,2023-07-24,10000,Delivered on schedule
PO-2024-037,2023-07-18,PR-2024-162,SUP-005,PT Phapros,RAW-007,Omeprazole,8000,KG,2019485,16155880000,11,1777146800,17933026800,2023-08-11,Warehouse A - Jakarta,Net 30,Completed,Ani Procurement,Sari Director,2023-07-19,2023-08-11,8000,On-time delivery with COA
PO-2024-038,2023-07-19,PR-2024-166,SUP-010,PT Pharma Excipient Supply,EXC-001,Croscarmellose Sodium,1000,KG,129797,129797000,11,14277670,144074670,2023-07-26,Warehouse A - Jakarta,Net 60,Completed,Ani Procurement,Rudi Manager,2023-07-20,2023-07-26,1000,Quality check required retest
PO-2024-039,2023-07-19,PR-2024-170,SUP-002,PT Indofarma Global Medika,RAW-010,Dexamethasone,10000,KG,340729,3407290000,11,374801900,3782091900,2023-07-26,Warehouse A - Jakarta,Net 60,Completed,Citra Procurement,Sari Director,2023-07-20,2023-07-26,10000,Delivery 2 days late
PO-2024-040,2023-07-20,PR-2024-174,SUP-010,PT Pharma Excipient Supply,EXC-001,Talcum Powder,3000,KG,14751,44253000,11,4867830,49120830,2023-07-30,Warehouse A - Jakarta,Net 60,Completed,Ani Procurement,Rudi Manager,2023-07-21,2023-07-30,3000,Slight delay but acceptable quality
PO-2024-041,2023-07-20,PR-2024-178,SUP-012,PT Brataco,EXC-001,Colloidal Silicon Dioxide,2000,KG,194523,389046000,11,42795060,431841060,2023-07-25,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Rudi Manager,2023-07-21,2023-07-25,2000,Slight delay but acceptable quality
PO-2024-042,2023-07-20,PR-2024-181,SUP-001,PT Kimia Farma Trading & Distribution,RAW-007,Omeprazole,10000,KG,1962886,19628860000,11,2159174600,21788034600,2023-07-31,Warehouse B - Bandung,Net 60,Completed,Citra Procurement,Sari Director,2023-07-21,2023-07-31,10000,Quality check required retest
PO-2024-043,2023-07-21,PR-2024-184,SUP-004,PT Kalbe Farma,RAW-007,Omeprazole,10000,KG,1999212,19992120000,11,2199133200,22191253200,2023-08-11,Warehouse B - Bandung,Net 30,Completed,Citra Procurement,Sari Director,2023-07-22,2023-08-11,10000,Quality check passed
PO-2024-044,2023-07-21,PR-2024-186,SUP-011,PT Chemical Works Indonesia,EXC-001,Talcum Powder,2000,KG,15467,30934000,11,3402740,34336740,2023-07-30,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-22,2023-07-30,2000,Slight delay but acceptable quality
PO-2024-045,2023-07-22,PR-2024-188,SUP-011,PT Chemical Works Indonesia,EXC-001,Talcum Powder,2000,KG,14299,28598000,11,3145780,31743780,2023-07-27,Warehouse B - Bandung,Net 45,Completed,Citra Procurement,Rudi Manager,2023-07-23,2023-07-27,2000,Slight delay but acceptable quality
PO-2024-046,2023-07-22,PR-2024-189,SUP-006,PT Indo Packaging Solutions,PKG-001,PVC/PVDC Blister Pack 10x10,20000,Unit,510,10200000,11,1122000,11322000,2023-07-29,Warehouse B - Bandung,Net 30,Completed,Citra Procurement,Rudi Manager,2023-07-23,2023-07-29,20000,COA received
PO-2024-047,2023-07-22,PR-2024-190,SUP-004,PT Kalbe Farma,RAW-005,Cetirizine HCl,2000,KG,3072616,6145232000,11,675975520,6821207520,2023-08-12,Warehouse A - Jakarta,Net 30,Completed,Ani Procurement,Sari Director,2023-07-23,2023-08-12,2000,COA received
PO-2024-048,2023-07-23,PR-2024-194,SUP-002,PT Indofarma Global Medika,RAW-009,Salbutamol Sulfate,2000,KG,891195,1782390000,11,196062900,1978452900,2023-07-30,Warehouse B - Bandung,Net 60,Completed,Budi Procurement,Sari Director,2023-07-24,2023-07-30,2000,Quality check required retest
PO-2024-049,2023-07-23,PR-2024-197,SUP-006,PT Indo Packaging Solutions,PKG-005,Corrugated Carton Box (Master),20000,Unit,3539,70780000,11,7785800,78565800,2023-07-31,Warehouse A - Jakarta,Net 30,Completed,Ani Procurement,Rudi Manager,2023-07-24,2023-07-31,20000,COA received
PO-2024-050,2023-07-23,PR-2024-201,SUP-012,PT Brataco,EXC-001,Magnesium Stearate,2000,KG,34537,69074000,11,7598140,76672140,2023-07-29,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-24,2023-07-29,2000,Quality check required retest
PO-2024-051,2023-07-23,PR-2024-203,SUP-011,PT Chemical Works Indonesia,EXC-001,Croscarmellose Sodium,1000,KG,131860,131860000,11,14504600,146364600,2023-07-31,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-24,2023-07-31,1000,Slight delay but acceptable quality
PO-2024-052,2023-07-24,PR-2024-206,SUP-010,PT Pharma Excipient Supply,EXC-001,Magnesium Stearate,3000,KG,34094,102282000,11,11251020,113533020,2023-08-01,Warehouse B - Bandung,Net 60,Completed,Citra Procurement,Rudi Manager,2023-07-25,2023-08-01,3000,Slight delay but acceptable quality
PO-2024-053,2023-07-24,PR-2024-208,SUP-010,PT Pharma Excipient Supply,EXC-001,Starch (Pregelatinized),5000,KG,18395,91975000,11,10117250,102092250,2023-08-01,Warehouse A - Jakarta,Net 60,Completed,Budi Procurement,Rudi Manager,2023-07-25,2023-08-01,5000,Quality check required retest
PO-2024-054,2023-07-25,PR-2024-209,SUP-011,PT Chemical Works Indonesia,EXC-001,Talcum Powder,1000,KG,15250,15250000,11,1677500,16927500,2023-07-30,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Rudi Manager,2023-07-26,2023-07-30,1000,Quality check required retest
PO-2024-055,2023-07-25,PR-2024-213,SUP-002,PT Indofarma Global Medika,RAW-004,Ibuprofen,8000,KG,196409,1571272000,11,172839920,1744111920,2023-08-01,Warehouse B - Bandung,Net 60,Completed,Ani Procurement,Sari Director,2023-07-26,2023-08-01,8000,Slight delay but acceptable quality
PO-2024-056,2023-07-25,PR-2024-214,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,5000,KG,60406,302030000,11,33223300,335253300,2023-08-02,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-26,2023-08-02,5000,Quality check required retest
PO-2024-057,2023-07-25,PR-2024-215,SUP-012,PT Brataco,EXC-001,Lactose Monohydrate,3000,KG,21247,63741000,11,7011510,70752510,2023-07-31,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-07-26,2023-07-31,3000,Delivery 2 days late
PO-2024-058,2023-07-25,PR-2024-218,SUP-010,PT Pharma Excipient Supply,EXC-001,Microcrystalline Cellulose (Avicel PH102),3000,KG,26216,78648000,11,8651280,87299280,2023-08-02,Warehouse A - Jakarta,Net 60,Completed,Citra Procurement,Rudi Manager,2023-07-26,2023-08-02,3000,Slight delay but acceptable quality
PO-2024-059,2023-07-26,PR-2024-222,SUP-008,PT Global Pack Industries,PKG-001,PVC/PVDC Blister Pack 10x10,25000,Unit,499,12475000,11,1372250,13847250,2023-08-06,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Rudi Manager,2023-07-27,2023-08-06,25000,Slight delay but acceptable quality
PO-2024-060,2023-07-26,PR-2024-226,SUP-008,PT Global Pack Industries,PKG-003,HDPE Bottle 100ml,30000,Unit,2956,88680000,11,9754800,98434800,2023-08-06,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Rudi Manager,2023-07-27,2023-08-06,30000,Quality check required retest
PO-2024-061,2023-07-26,PR-2024-228,SUP-012,PT Brataco,EXC-001,Povidone K30,1000,KG,65700,65700000,11,7227000,72927000,2023-07-31,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-27,2023-07-31,1000,Slight delay but acceptable quality
PO-2024-062,2023-07-26,PR-2024-230,SUP-007,PT Multi Packaging Indonesia,PKG-008,Leaflet (Patient Information),15000,Unit,105,1575000,11,173250,1748250,2023-08-15,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-27,2023-08-15,14369,Quality check passed
PO-2024-063,2023-07-27,PR-2024-232,SUP-005,PT Phapros,RAW-008,Ciprofloxacin,2000,KG,444239,888478000,11,97732580,986210580,2023-08-20,Warehouse A - Jakarta,Net 30,Completed,Citra Procurement,Sari Director,2023-07-28,2023-08-20,2000,On-time delivery with COA
PO-2024-064,2023-07-27,PR-2024-234,SUP-006,PT Indo Packaging Solutions,PKG-005,Corrugated Carton Box (Master),30000,Unit,3610,108300000,11,11913000,120213000,2023-08-01,Warehouse B - Bandung,Net 30,Completed,Ani Procurement,Rudi Manager,2023-07-28,2023-08-01,30000,COA received
PO-2024-065,2023-07-27,PR-2024-237,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,3000,KG,61169,183507000,11,20185770,203692770,2023-08-01,Warehouse A - Jakarta,Net 45,Completed,Ani Procurement,Rudi Manager,2023-07-28,2023-08-01,3000,Quality check required retest
PO-2024-066,2023-07-28,PR-2024-238,SUP-001,PT Kimia Farma Trading & Distribution,RAW-010,Dexamethasone,8000,KG,352756,2822048000,11,310425280,3132473280,2023-08-08,Warehouse A - Jakarta,Net 60,Completed,Ani Procurement,Sari Director,2023-07-29,2023-08-08,8000,Delivery 2 days late
PO-2024-067,2023-07-28,PR-2024-241,SUP-008,PT Global Pack Industries,PKG-002,Aluminum Foil Strip (Cold Form),30000,Roll,124247,3727410000,11,410015100,4137425100,2023-08-07,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Sari Director,2023-07-29,2023-08-07,30000,Delivery 2 days late
PO-2024-068,2023-07-28,PR-2024-242,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,10000,Unit,861,8610000,11,947100,9557100,2023-08-07,Warehouse A - Jakarta,Net 30,Completed,Ani Procurement,Rudi Manager,2023-07-29,2023-08-07,10000,COA received
PO-2024-069,2023-07-28,PR-2024-246,SUP-008,PT Global Pack Industries,PKG-008,Leaflet (Patient Information),15000,Unit,112,1680000,11,184800,1864800,2023-08-06,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-07-29,2023-08-06,15000,Quality check required retest
PO-2024-070,2023-07-28,PR-2024-249,SUP-005,PT Phapros,RAW-005,Cetirizine HCl,8000,KG,2959710,23677680000,11,2604544800,26282224800,2023-08-20,Warehouse A - Jakarta,Net 30,Completed,Budi Procurement,Sari Director,2023-07-29,2023-08-20,8000,On-time delivery with COA
PO-2024-071,2023-07-29,PR-2024-252,SUP-011,PT Chemical Works Indonesia,EXC-001,Lactose Monohydrate,5000,KG,20293,101465000,11,11161150,112626150,2023-08-04,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-30,2023-08-04,5000,Delivery 2 days late
PO-2024-072,2023-07-29,PR-2024-253,SUP-010,PT Pharma Excipient Supply,EXC-001,Lactose Monohydrate,2000,KG,20473,40946000,11,4504060,45450060,2023-08-08,Warehouse B - Bandung,Net 60,Completed,Ani Procurement,Rudi Manager,2023-07-30,2023-08-08,2000,Delivery 2 days late
PO-2024-073,2023-07-29,PR-2024-256,SUP-011,PT Chemical Works Indonesia,EXC-001,Povidone K30,1000,KG,60167,60167000,11,6618370,66785370,2023-08-06,Warehouse B - Bandung,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-30,2023-08-06,1000,Delivery 2 days late
PO-2024-074,2023-07-30,PR-2024-258,SUP-008,PT Global Pack Industries,PKG-004,Glass Vial 10ml,20000,Unit,5099,101980000,11,11217800,113197800,2023-08-08,Warehouse B - Bandung,Net 45,Completed,Ani Procurement,Rudi Manager,2023-07-31,2023-08-08,20000,Delivery 2 days late
PO-2024-075,2023-07-30,PR-2024-262,SUP-007,PT Multi Packaging Indonesia,PKG-001,PVC/PVDC Blister Pack 10x10,20000,Unit,494,9880000,11,1086800,10966800,2023-08-15,Warehouse A - Jakarta,Net 45,Completed,Budi Procurement,Rudi Manager,2023-07-31,2023-08-15,20000,Delivered on schedule
PO-2024-076,2023-07-31,PR-2024-266,SUP-004,PT Kalbe Farma,RAW-008,Ciprofloxacin,5000,KG,441511,2207555000,11,242831050,2450386050,2023-08-24,Warehouse B - Bandung,Net 30,Completed,Citra Procurement,Sari Director,2023-08-01,2023-08-24,5000,Quality check passed
PO-2024-077,2023-07-31,PR-2024-268,SUP-006,PT Indo Packaging Solutions,PKG-007,Desiccant Silica Gel 1g,20000,Unit,209,4180000,11,459800,4639800,2023-08-05,Warehouse A - Jakarta,Net 30,Completed,Ani Procurement,Rudi Manager,2023-08-01,2023-08-05,20000,Quality check passed
PO-2024-078,2023-07-31,PR-2024-269,SUP-007,PT Multi Packaging Indonesia,PKG-002,Aluminum Foil Strip (Cold Form),10000,Roll,120157,1201570000,11,132172700,1333742700,2023-08-16,Warehouse A - Jakarta,Net 45,Completed,Citra Procurement,Sari Director,2023-08-01,2023-08-16,10000,COA received
PO-2024-079,2023-07-31,PR-2024-273,SUP-006,PT Indo Packaging Solutions,PKG-006,Aluminum Screw Cap 28mm,20000,Unit,936,18720000,11,2059200,20779200,2023-08-05,Warehouse B - Bandung,Net 30,Completed,Ani Procurement,Rudi Manager,2023-08-01,2023-08-05,20000,Delivered on schedule
PO-2024-080,2023-07-31,PR-2024-274,SUP-001,PT Kimia Farma Trading & Distribution,RAW-006,Metformin HCl,10000,KG,73871,738710000,11,81258100,819968100,2023-08-08,Warehouse A - Jakarta,Net 60,Completed,Citra Procurement,Sari Director,2023-08-01,2023-08-08,10000,Slight delay but acceptable quality
PO-2024-081,2023-08-01,PR-2024-278,SUP-005,PT Phapros,RAW-001,Amoxicillin Trihydrate,5000,KG,154906,774530000,11,85198300,859728300,2023-08-22,Warehouse A - Jakarta,Net 30,Completed,Citra Procurement,Sari Director,2023-08-02,2023-08-22,5000,Perfect delivery with documentation
PO-2024-082,2023-08-01,PR-2024-282,SUP-001,PT Kimia Farma Trading & Distribution,RAW-001,Amoxicillin Trihydrate,10000,KG,156688,1566880000,11,172356800,1739236800,2023-08-13,Warehouse A - Jakarta,Net 60,Completed,Ani Procurement,Sari Director,2023-08-02,2023-08-13,10000,Delivery 2 days late
